[zipcode=]세종  가람동  19217 ]
[zipcode=]세종  고운동  19218 ]
[zipcode=]세종  나성동  19219 ]
[zipcode=]세종  다정동  19220 ]
[zipcode=]세종  대평동 행정중심복합도시건설청  19221 ]
[zipcode=]세종  대평동  19222 ]
[zipcode=]세종  도담동  19223 ]
[zipcode=]세종  반곡동  19224 ]
[zipcode=]세종  보람동  19225 ]
[zipcode=]세종  새롬동  19226 ]
[zipcode=]세종  소담동  19227 ]
[zipcode=]세종  아름동  19228 ]
[zipcode=]세종  어진동 공정거래위원회  19229 ]
[zipcode=]세종  어진동 국무총리실  19230 ]
[zipcode=]세종  어진동 국토해양부  19231 ]
[zipcode=]세종  어진동 기획재정부  19232 ]
[zipcode=]세종  어진동 농림수산식품부  19233 ]
[zipcode=]세종  어진동 환경부  19234 ]
[zipcode=]세종  어진동  19235 ]
[zipcode=]세종  종촌동  19236 ]
[zipcode=]세종  한솔동 첫마을아파트1단지 (101∼111동) 19237 ]
[zipcode=]세종  한솔동 첫마을아파트2단지 (201∼202동) 19238 ]
[zipcode=]세종  한솔동 첫마을아파트3단지 (301∼312동) 19239 ]
[zipcode=]세종  한솔동 첫마을아파트4단지 (401∼405동) 19240 ]
[zipcode=]세종  한솔동 첫마을아파트5단지 (501∼525동) 19241 ]
[zipcode=]세종  한솔동 첫마을아파트6단지 (601∼617동) 19242 ]
[zipcode=]세종  한솔동 첫마을아파트7단지 (701∼713동) 19243 ]
[zipcode=]세종  한솔동  19244 ]
[zipcode=]세종  조치원읍 교리 세종우체국  19245 ]
[zipcode=]세종  조치원읍 교리  19246 ]
[zipcode=]세종  조치원읍 남리 다원파크리안아파트 (101∼103동) 19247 ]
[zipcode=]세종  조치원읍 남리  19248 ]
[zipcode=]세종  조치원읍 명리  19249 ]
[zipcode=]세종  조치원읍 번암리 주공아파트 (101∼111동) 19250 ]
[zipcode=]세종  조치원읍 번암리  19251 ]
[zipcode=]세종  조치원읍 봉산리  19252 ]
[zipcode=]세종  조치원읍 상리  19253 ]
[zipcode=]세종  조치원읍 서창리 고려대학교세종캠퍼스  19254 ]
[zipcode=]세종  조치원읍 서창리  19255 ]
[zipcode=]세종  조치원읍 신안리 조형아파트 (101∼108동) 19256 ]
[zipcode=]세종  조치원읍 신안리 홍익대학교세종캠퍼스  19257 ]
[zipcode=]세종  조치원읍 신안리  19258 ]
[zipcode=]세종  조치원읍 신흥리 e-편한세상아파트 (101∼110동) 19259 ]
[zipcode=]세종  조치원읍 신흥리 세종특별자치시청  19260 ]
[zipcode=]세종  조치원읍 신흥리 신흥주공아파트 (201∼210동) 19261 ]
[zipcode=]세종  조치원읍 신흥리 푸르지오1차 (101∼112동) 19262 ]
[zipcode=]세종  조치원읍 신흥리  19263 ]
[zipcode=]세종  조치원읍 원리  19264 ]
[zipcode=]세종  조치원읍 정리  19265 ]
[zipcode=]세종  조치원읍 죽림리 신동아아파트 (101∼305동) 19266 ]
[zipcode=]세종  조치원읍 죽림리 우방유쉘아파트 (101∼109동) 19267 ]
[zipcode=]세종  조치원읍 죽림리 자이아파트 (101∼125동) 19268 ]
[zipcode=]세종  조치원읍 죽림리  19269 ]
[zipcode=]세종  조치원읍 침산리 욱일아파트 (101∼113동) 19270 ]
[zipcode=]세종  조치원읍 침산리  19271 ]
[zipcode=]세종  조치원읍 평리  19272 ]
[zipcode=]세종  조치원읍  19273 ]
[zipcode=]세종  금남면 감성리  19274 ]
[zipcode=]세종  금남면 국곡리 사서함 119 19275 ]
[zipcode=]세종  금남면 국곡리  19276 ]
[zipcode=]세종  금남면 금천리  19277 ]
[zipcode=]세종  금남면 남곡리  19278 ]
[zipcode=]세종  금남면 달전리  19279 ]
[zipcode=]세종  금남면 대박리  19280 ]
[zipcode=]세종  금남면 도남리  19281 ]
[zipcode=]세종  금남면 도암리  19282 ]
[zipcode=]세종  금남면 두만리  19283 ]
[zipcode=]세종  금남면 박산리  19284 ]
[zipcode=]세종  금남면 발산리  19285 ]
[zipcode=]세종  금남면 봉암리  19286 ]
[zipcode=]세종  금남면 부용리  19287 ]
[zipcode=]세종  금남면 성강리  19288 ]
[zipcode=]세종  금남면 성덕리  19289 ]
[zipcode=]세종  금남면 신촌리  19290 ]
[zipcode=]세종  금남면 영곡리  19291 ]
[zipcode=]세종  금남면 영대리  19292 ]
[zipcode=]세종  금남면 영치리  19293 ]
[zipcode=]세종  금남면 용담리  19294 ]
[zipcode=]세종  금남면 용포리 두진리버빌아파트 (101∼105동) 19295 ]
